,3prime,tAI,max_5_UTR_length,TCGA-A2-A0T6,TCGA-A2-A0T6.1
AAK1,17874.0,0.380718848,505.0,0.462207,0.161302133
AATF,207.0,0.367011205,251.0,-0.035302,-0.107019034
ABCC1,1793.0,0.393368456,175.0,0.12549,-0.031356836
ABCF3,5726.0,0.387768135,869.0,-0.255473,0.033340966
ABHD12,654.0,0.374654709,279.0,-0.350832,-0.646958636
ABHD6,1639.0,0.384216096,505.0,-0.225689,-0.205402909
ABR,2562.0,0.39474042,600.0,0.129932,0.046275912
ABT1,2092.0,0.423473096,40.0,-0.310087,-0.15214172
ACADVL,176.0,0.46877374,457.0,-0.142068,-0.086006507
ACBD6,155.0,0.433964845,621.0,-0.157226,0.220333164
ACIN1,584.0,0.404933544,328.0,0.068498,-0.087478373
ACO1,4661.0,0.37721508,227.0,0.863431,0.485261449
ACOT11,1220.0,0.392289045,176.0,-1.09144,-0.791278239
ACOT9,4514.0,0.358892202,225.0,0.275066,0.115909438
ACP2,814.0,0.411581374,548.0,-0.47724,-0.040661731
ACSF2,1484.0,0.405139059,501.0,0.234226,-0.251010705
ACSL1,1530.0,0.417966714,990.0,1.021828,0.425758648
ACSL5,1022.0,0.380976548,307.0,0.924116,0.066041008
ACTB,613.0,0.469768794,192.0,0.191358,0.112447265
ACTL6A,452.0,0.409046191,387.0,-0.353773,0.150242003
ACTR1A,3151.0,0.432463663,108.0,-0.061949,0.166699064
ADA,312.0,0.444091501,440.0,-0.245101,0.085330866
ADAMDEC1,715.0,0.41564171,547.0,-0.070825,-0.729931497
ADD1,1928.0,0.439806775,863.0,0.152116,0.292397123
ADPRH,2067.0,0.380088169,541.0,0.56445,-0.17099536
ADSSL1,320.0,0.393141878,776.0,-0.393777,-0.206975747
AGAP3,508.0,0.436856677,1584.0,-0.458228,0.060518242
AHNAK,842.0,0.382138706,300.0,0.768647,0.470573789
AHSA1,225.0,0.374296292,431.0,-0.58583,-0.196859384
AIF1,121.0,0.4069451,222.0,0.77986,-0.025917687
AIFM2,1911.0,0.447982482,217.0,0.150357,0.136873467
AK1,1528.0,0.389481519,153.0,-0.572056,0.12878239
AK2,2893.0,0.384271636,345.0,-0.120047,0.169263958
AKR1C2,3804.0,0.449591167,413.0,1.89108,-0.145469208
AKR7A2,10996.0,0.385600504,22.0,-0.226638,0.108324398
