,3prime,tAI,max_5_UTR_length,TCGA-AO-A0J6,TCGA-AO-A0J6.1
AAK1,17874.0,0.380718848,505.0,0.188288,0.003485487
AATF,207.0,0.367011205,251.0,0.669946,0.020355253
ABCC1,1793.0,0.393368456,175.0,0.083789,0.077786702
ABCF3,5726.0,0.387768135,869.0,1.132741,-0.357365546
ABHD12,654.0,0.374654709,279.0,0.272557,-0.144940772
ABHD6,1639.0,0.384216096,505.0,0.263509,0.417601114
ABR,2562.0,0.39474042,600.0,0.124617,0.274200205
ABT1,2092.0,0.423473096,40.0,0.236406,0.289029688
ACADVL,176.0,0.46877374,457.0,0.497306,0.263834076
ACBD6,155.0,0.433964845,621.0,0.170737,0.357133367
ACIN1,584.0,0.404933544,328.0,-0.78026,-0.37282896
ACO1,4661.0,0.37721508,227.0,-0.520766,0.775147976
ACOT11,1220.0,0.392289045,176.0,0.597068,-0.362956804
ACOT9,4514.0,0.358892202,225.0,-1.811805,0.268791789
ACP2,814.0,0.411581374,548.0,0.175815,0.028761577
ACSF2,1484.0,0.405139059,501.0,-0.107523,-0.169550414
ACSL1,1530.0,0.417966714,990.0,0.031846,0.932351565
ACSL5,1022.0,0.380976548,307.0,0.723566,0.077753003
ACTB,613.0,0.469768794,192.0,0.923545,0.555653436
ACTL6A,452.0,0.409046191,387.0,1.190939,-0.08351248
ACTR1A,3151.0,0.432463663,108.0,0.543531,0.100710607
ADA,312.0,0.444091501,440.0,1.57293,0.788498978
ADD1,1928.0,0.439806775,863.0,-0.985777,0.84176218
ADPRH,2067.0,0.380088169,541.0,0.143635,-0.143264915
ADSSL1,320.0,0.393141878,776.0,-0.53168,0.288022172
AGAP3,508.0,0.436856677,1584.0,-0.115681,-0.133078068
AHNAK,842.0,0.382138706,300.0,-1.547617,0.821016624
AHSA1,225.0,0.374296292,431.0,0.154058,-0.372895424
AIF1,121.0,0.4069451,222.0,0.11511,0.288357743
AIFM2,1911.0,0.447982482,217.0,0.56395,1.311789462
AK1,1528.0,0.389481519,153.0,0.585659,0.821709534
AK2,2893.0,0.384271636,345.0,0.2076,-0.210937209
AKR1C2,3804.0,0.449591167,413.0,2.566462,2.504131987
AKR7A2,10996.0,0.385600504,22.0,-0.756303,0.021689395
ALDH18A1,838.0,0.380333742,511.0,0.703652,-0.413993368
ALDH3A2,2525.0,0.42484639,221.0,-0.133868,0.089002398
ALDH6A1,4647.0,0.38708374,724.0,-1.324659,0.022392974
ALG1,2498.0,0.432230555,181.0,-0.464323,-0.217089056
ALG5,380.0,0.362014155,67.0,-0.652144,-0.04576667
ALG9,4217.0,0.365461171,1107.0,-0.590039,-0.133805325
ALOX5AP,976.0,0.392577632,248.0,0.046415,0.02344952
AMBRA1,1041.0,0.36170155,362.0,0.027685,-0.096810399
AMPD2,903.0,0.389224108,566.0,1.13897,-0.042774833
AMPD3,1695.0,0.423686063,472.0,0.114314,-0.041138373
ANAPC13,1361.0,0.393644021,731.0,-0.817678,-0.021479909
ANAPC5,235.0,0.390209877,197.0,0.257875,0.167427081
ANKLE2,1737.0,0.418251419,90.0,0.857572,-0.249282264
ANKRD16,135.0,0.465649334,543.0,1.02753,-0.053276308
ANXA2,496.0,0.429738522,160.0,0.115965,0.631853623
ANXA5,1441.0,0.418050335,165.0,0.834242,0.652163016
AP1B1,1153.0,0.424070668,187.0,0.627896,-0.098635029
AP1M1,914.0,0.463388599,173.0,0.196484,-0.234796643
APBA1,3797.0,0.387421148,276.0,1.706367,0.089988493
APIP,427.0,0.433104693,127.0,0.352265,-0.092904891
APOBEC3B,339.0,0.43450554,55.0,3.12874,0.180161732
APOBEC3C,1979.0,0.381716897,103.0,-0.010127,-0.31396523
APOBEC3G,322.0,0.410940579,404.0,1.1233,-0.004220194
APOL2,1195.0,0.42932248,477.0,1.369403,-0.617424015
ARF6,2971.0,0.462806813,621.0,-0.538617,-0.077146646
ARFIP2,2430.0,0.403729309,291.0,-0.285581,-0.208152306
ARHGAP17,2624.0,0.371011524,117.0,0.438452,0.371657455
ARHGAP30,773.0,0.384451823,645.0,0.275553,0.101356832
ARHGEF10,1378.0,0.370244255,202.0,-0.194651,0.352622705
ARID2,3145.0,0.362288628,128.0,-1.036736,-0.048133256
ARID3A,3881.0,0.411693449,290.0,-0.014345,-0.153177695
ARIH2,3112.0,0.397061561,878.0,-0.378449,0.193252404
ARL8A,1065.0,0.409602486,171.0,-0.035585,0.012455406
ARRB1,6041.0,0.39512759,224.0,0.204523,0.057090085
ASF1B,950.0,0.395794233,172.0,0.42533,-0.64296197
ASS1,1357.0,0.394201053,356.0,2.007556,0.708865886
ATPAF1,3039.0,0.439253133,510.0,0.906824,0.195728586
ATRIP,162.0,0.417082642,462.0,-0.237623,0.021441587
AXL,1863.0,0.417061167,376.0,-1.83484,0.777686168
B4GALT7,4483.0,0.433879574,93.0,0.368811,0.878034616
BAG1,2764.0,0.431693656,501.0,-0.662567,-0.177415708
BAG3,537.0,0.387438444,306.0,0.24345,0.47885339
BASP1,971.0,0.520859146,259.0,-2.607055,-0.146067243
BBS7,1531.0,0.408023089,184.0,1.544956,0.432494413
BCAT2,364.0,0.445598481,657.0,0.246602,-0.223789289
BCKDHB,3082.0,0.419736544,88.0,-1.18286,0.137719364
BCL2,5279.0,0.374049285,493.0,-2.632808,0.027582833
BCL2L13,4109.0,0.411790332,769.0,-0.460926,-0.300008085
BID,4193.0,0.428633517,498.0,0.237809,-0.037909427
BLVRA,3376.0,0.414260839,177.0,-0.440198,-0.18116425
BOLA2,40.0,0.43059393,513.0,0.075824,-0.300659883
BOLA3,383.0,0.406657227,38.0,0.817183,-0.606077467
BRD2,787.0,0.377809737,2066.0,-0.548421,-0.062213955
BRD3,3285.0,0.401150236,188.0,-0.617113,-0.14317103
BSPRY,1091.0,0.380011644,48.0,0.944864,-0.267686021
BST2,411.0,0.444557266,81.0,1.446705,0.041362125
BUB3,1535.0,0.421992618,242.0,-0.225194,-0.18350523
C1QB,152.0,0.436596666,340.0,0.555139,0.436927485
C1QC,327.0,0.41150294,283.0,0.706807,0.475060797
C2CD3,671.0,0.360398895,227.0,-0.364129,-0.048352611
C3,5088.0,0.430632158,93.0,1.425097,1.392660456
CAP1,1134.0,0.406948565,416.0,0.50989,-0.009920309
CAPN1,720.0,0.455130071,197.0,0.772131,0.096334452
CAPRIN1,5632.0,0.374918508,189.0,-0.330486,-0.490222591
CAPZB,5180.0,0.446052528,622.0,-0.548773,0.04394653
CARD16,437.0,0.41300235,27.0,1.936312,0.049710568
CARHSP1,4898.0,0.362100245,360.0,1.214869,-0.027297024
CASC3,1778.0,0.370720542,295.0,0.045869,-0.30819777
CASP1,750.0,0.424742838,44.0,2.11164,-0.035417347
CASP8,1794.0,0.376118708,303.0,-0.783776,0.003683219
CAT,629.0,0.397270122,89.0,-0.45079,0.521373108
CBL,8368.0,0.375957197,142.0,-0.282469,0.152939828
CBLL1,3286.0,0.400851504,467.0,-0.12609,-0.264727593
CBR3,54.0,0.445176236,228.0,-0.063318,0.241987143
CBS,4385.0,0.477784031,626.0,3.503362,-1.02688111
CBX5,10815.0,0.390902295,318.0,-1.161195,-0.425336288
CBX8,2504.0,0.36735217,118.0,0.110941,-0.221258231
CCDC115,2169.0,0.385110507,452.0,-1.186206,0.086801863
CCDC125,2554.0,0.359965106,322.0,-1.860847,0.054011198
CCDC58,2462.0,0.421830022,75.0,0.565596,-0.33797168
CCDC88C,1302.0,0.396031427,154.0,-1.028169,-0.331890987
CCL5,886.0,0.462166288,68.0,2.791978,-0.524384614
CCNDBP1,2336.0,0.44393643,231.0,-1.034237,-0.17443672
CCS,4244.0,0.460896681,43.0,0.120729,0.445440996
CCT3,238.0,0.457984718,231.0,0.85616,-0.147270663
CCT4,1361.0,0.393363555,164.0,0.529372,-0.226799102
CD14,128.0,0.416321757,392.0,1.900281,0.532827948
CD209,3046.0,0.440000747,67.0,0.376627,1.941048305
CD36,2894.0,0.410517795,414.0,-1.393783,2.270030376
CD40,982.0,0.429065654,90.0,1.951753,0.568174754
CD44,3115.0,0.39995987,434.0,0.570631,-0.572692199
CD63,923.0,0.512738356,403.0,-0.042384,0.122274403
CD74,635.0,0.427357309,187.0,1.436274,-0.294021269
CDC26,271.0,0.395637029,359.0,0.347796,-0.30313353
CDC34,560.0,0.46431386,199.0,0.882408,0.129478067
CDC42EP3,3941.0,0.420378821,1009.0,-0.07959,0.439354698
CDCA3,816.0,0.351209268,820.0,1.758411,-0.285632944
CDCA8,1353.0,0.384295288,290.0,2.195322,-0.354928271
CDIPT,1864.0,0.442654716,541.0,-0.006814,-0.580011184
CDK1,2313.0,0.398329505,154.0,0.766066,-0.889988223
CDK19,4557.0,0.421511824,180.0,-0.181758,-0.541858652
CDK2AP1,766.0,0.439144625,522.0,1.157515,-0.763840243
CDK5RAP2,367.0,0.371069462,192.0,-0.592431,0.237600759
CDK5RAP3,284.0,0.469750898,1791.0,-0.347412,-0.051512505
CDKAL1,1365.0,0.417875209,167.0,1.498056,-0.143288475
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.865215,-0.08208161
CDKN2C,2247.0,0.381912025,1216.0,1.087765,0.903895911
CENPH,1478.0,0.418392258,87.0,0.438239,0.006362032
CENPV,301.0,0.385948267,62.0,-0.398735,0.047729504
CEP55,939.0,0.397841874,304.0,1.367039,-0.964033315
CES3,2100.0,0.377378956,446.0,1.824508,0.560078594
CETN2,868.0,0.433727498,47.0,0.951255,0.105056253
CFL1,677.0,0.502791,234.0,0.350455,-0.238362468
CHCHD4,3528.0,0.445497334,326.0,0.975134,-0.52931408
CHMP4A,296.0,0.447100154,262.0,-0.818649,-0.065712514
CHMP5,1241.0,0.442987983,200.0,0.885849,-0.241455539
CHMP6,980.0,0.489861105,78.0,0.720872,0.235813849
CHTF8,2425.0,0.424551152,142.0,0.269453,-0.093344028
CIAPIN1,1024.0,0.451663323,242.0,0.550193,-0.203987967
CISD2,5376.0,0.433298698,107.0,0.746862,-1.184121183
CKAP4,2872.0,0.386259817,84.0,0.799025,-0.537984637
CKS2,300.0,0.317949998,98.0,1.362194,0.001281921
CLCC1,5185.0,0.369704467,150.0,0.093991,-1.140184721
CLCN7,1698.0,0.459147749,110.0,-0.138796,-0.414673573
CLIC1,290.0,0.4571302,573.0,0.435978,-0.211593685
CLK2,350.0,0.410673686,925.0,0.109522,-0.151092279
CLK3,1233.0,0.4268607,461.0,-0.370221,-0.052341628
CLPTM1,458.0,0.383990827,351.0,0.312445,-0.138726751
CLTA,288.0,0.450950874,514.0,0.834424,-0.400412391
CLTB,319.0,0.48548545,210.0,1.484276,0.057740564
CLTC,3104.0,0.384957863,443.0,-0.264259,-0.211132808
CNBP,6850.0,0.433298698,206.0,0.029311,-0.687205973
CNPY2,123.0,0.392778455,553.0,0.263181,-0.351469365
CNPY3,1042.0,0.459231502,584.0,-0.10844,-0.134676045
COG3,1967.0,0.414689223,142.0,-0.870046,-0.130731797
COMMD1,306.0,0.423842833,138.0,-0.179724,0.352514683
COMMD3,431.0,0.360487018,35.0,0.16902,0.313394491
COMMD5,498.0,0.445713337,399.0,0.159468,0.173950035
COMMD6,1375.0,0.396967837,328.0,-0.78097,0.540085422
COMMD9,2340.0,0.418062772,89.0,0.388009,0.110852111
COPB1,446.0,0.381738818,307.0,0.461732,-0.214521961
COPE,165.0,0.478760693,55.0,-0.141244,-0.209623094
COQ6,671.0,0.374062527,159.0,-1.172945,0.52216172
COQ7,5700.0,0.42379098,133.0,-0.998498,0.115430947
CORO1A,112.0,0.457388252,435.0,1.268257,-0.319723278
COX17,1735.0,0.484254073,86.0,-0.490885,-0.762566999
COX5A,860.0,0.429944966,140.0,-0.237732,-0.149132537
COX7A2,302.0,0.441893926,98.0,-0.118421,0.008834538
CPM,5262.0,0.406054343,75.0,1.237614,0.815101065
CPSF4,923.0,0.452412439,277.0,0.507281,-0.335161016
CPT1A,2761.0,0.374132033,170.0,-1.332622,-0.597119528
CPT2,602.0,0.431256564,515.0,0.034651,-0.24765128
CRCP,8457.0,0.390198146,145.0,-0.026494,-0.518896817
CRKL,3904.0,0.422225684,509.0,-0.676133,0.109332513
CRTAP,5601.0,0.446308827,120.0,0.735117,0.100063212
CRTC3,3205.0,0.355982524,186.0,-0.481648,0.635302495
CRYL1,462.0,0.386242786,79.0,-0.384887,0.664180177
CSRP1,1183.0,0.493833101,217.0,-1.085478,2.353526121
CST3,2762.0,0.475763324,186.0,-1.391917,0.950314567
CSTF2,1931.0,0.372934478,58.0,0.013295,-0.499512954
CTBP1,800.0,0.464034004,393.0,-0.709029,0.15360258
CTNNA1,1216.0,0.412513324,1103.0,0.671535,-0.213077093
CTNNB1,1106.0,0.432073699,448.0,0.940766,-0.209107841
