,3prime,tAI,max_5_UTR_length,TCGA-A8-A08Z,TCGA-A8-A08Z.1
AAK1,17874.0,0.380718848,505.0,0.134531,-0.044133741
AATF,207.0,0.367011205,251.0,-0.233275,0.012349942
ABCC1,1793.0,0.393368456,175.0,0.135764,-0.522017605
ABCF3,5726.0,0.387768135,869.0,-0.30957,0.054205817
ABHD12,654.0,0.374654709,279.0,-0.284092,-0.49457128
ABHD6,1639.0,0.384216096,505.0,0.532119,-0.180452103
ABR,2562.0,0.39474042,600.0,0.417029,0.251174421
ABT1,2092.0,0.423473096,40.0,-0.206195,-0.195658564
ACADVL,176.0,0.46877374,457.0,0.232031,0.272379521
ACBD6,155.0,0.433964845,621.0,0.476801,0.115727357
ACIN1,584.0,0.404933544,328.0,-0.001206,0.341133294
ACO1,4661.0,0.37721508,227.0,0.556957,0.610414813
ACOT11,1220.0,0.392289045,176.0,0.667129,-0.209309123
ACOT9,4514.0,0.358892202,225.0,0.541662,-0.034233447
ACP2,814.0,0.411581374,548.0,0.097445,0.058938186
ACSF2,1484.0,0.405139059,501.0,-0.536892,-0.549333849
ACSL1,1530.0,0.417966714,990.0,0.742333,0.020672068
ACSL5,1022.0,0.380976548,307.0,0.430371,-0.498365986
ACTB,613.0,0.469768794,192.0,0.246087,0.167055107
ACTL6A,452.0,0.409046191,387.0,0.138969,0.196922157
ACTR1A,3151.0,0.432463663,108.0,0.025575,0.093194897
ADA,312.0,0.444091501,440.0,-0.013633,0.081572624
ADD1,1928.0,0.439806775,863.0,0.192745,-0.033339573
ADPRH,2067.0,0.380088169,541.0,0.727027,0.219207205
ADSSL1,320.0,0.393141878,776.0,-0.623575,0.025779288
AGAP3,508.0,0.436856677,1584.0,-0.064975,-0.185412826
AHNAK,842.0,0.382138706,300.0,0.562849,0.287196076
AHSA1,225.0,0.374296292,431.0,-0.224079,-0.044683748
AIF1,121.0,0.4069451,222.0,0.693945,-0.147966345
AIFM2,1911.0,0.447982482,217.0,-0.666771,-0.022314899
AK1,1528.0,0.389481519,153.0,-0.347279,0.054757873
AK2,2893.0,0.384271636,345.0,0.008432,0.157376225
AKR1C2,3804.0,0.449591167,413.0,-3.294307,-0.170094231
AKR7A2,10996.0,0.385600504,22.0,0.27434,0.11057449
